,X,Y,value,,,,,,,,,,,,,,,
95,T9A,T2B,0.173870498,,,,,,,,,,,,,,,
96,T9B,T2B,0.270565566,,,,,,,,,,,,,,,
97,T10A,T2B,0.76460256,,,,,,,,,,,,,,,
98,T10B,T2B,0.684148934,,,,,,,,,,,,,,,
99,T11A,T2B,0.288783881,,,,,,,,,,,,,,,
100,T11B,T2B,0.295847371,,,,,,,,,,,,,,,
101,T12A,T2B,0.120930511,,,,,,,,,,,,,,,
102,T12B,T2B,0.550478405,,,,,,,,,,,,,,,
103,T13A,T2B,0.497874237,,,,,,,,,,,,,,,
104,T13B,T2B,0.541440216,,,,,,,,,,,,,,,
105,T1A,T3A,0.901252853,,,,,,,,,,,,,,,
106,T1B,T3A,0.907389093,,,,,,,,,,,,,,,
107,T2A,T3A,0.759308366,,,,,,,,,,,,,,,
108,T2B,T3A,0.362820223,,,,,,,,,,,,,,,
109,T3A,T3A,0,,,,,,,,,,,,,,,
110,T3B,T3A,0.364026996,,,,,,,,,,,,,,,
111,T4A,T3A,0.474390854,,,,,,,,,,,,,,,
112,T4B,T3A,0.302895212,,,,,,,,,,,,,,,
113,T5A,T3A,0.469557459,,,,,,,,,,,,,,,
114,T5B,T3A,0.45337666,,,,,,,,,,,,,,,
115,T6A,T3A,0.464433456,,,,,,,,,,,,,,,
116,T6B,T3A,0.463596192,,,,,,,,,,,,,,,
117,T7A,T3A,0.710242137,,,,,,,,,,,,,,,
118,T7B,T3A,0.280438629,,,,,,,,,,,,,,,
119,T8A,T3A,0.606652683,,,,,,,,,,,,,,,
120,T8B,T3A,0.771758211,,,,,,,,,,,,,,,
121,T9A,T3A,0.389776773,,,,,,,,,,,,,,,
122,T9B,T3A,0.456504662,,,,,,,,,,,,,,,
123,T10A,T3A,0.70328863,,,,,,,,,,,,,,,
124,T10B,T3A,0.604773187,,,,,,,,,,,,,,,
125,T11A,T3A,0.464694503,,,,,,,,,,,,,,,
126,T11B,T3A,0.436738975,,,,,,,,,,,,,,,
127,T12A,T3A,0.399419436,,,,,,,,,,,,,,,
128,T12B,T3A,0.552572217,,,,,,,,,,,,,,,
129,T13A,T3A,0.53655748,,,,,,,,,,,,,,,
130,T13B,T3A,0.544108071,,,,,,,,,,,,,,,
131,T1A,T3B,0.684182842,,,,,,,,,,,,,,,
132,T1B,T3B,0.676384681,,,,,,,,,,,,,,,
133,T2A,T3B,0.902416371,,,,,,,,,,,,,,,
134,T2B,T3B,0.460982024,,,,,,,,,,,,,,,
135,T3A,T3B,0.364026996,,,,,,,,,,,,,,,
136,T3B,T3B,0,,,,,,,,,,,,,,,
137,T4A,T3B,0.492860869,,,,,,,,,,,,,,,
138,T4B,T3B,0.462484187,,,,,,,,,,,,,,,
139,T5A,T3B,0.479133175,,,,,,,,,,,,,,,
140,T5B,T3B,0.462910209,,,,,,,,,,,,,,,
141,T6A,T3B,0.47367531,,,,,,,,,,,,,,,
142,T6B,T3B,0.47336101,,,,,,,,,,,,,,,
143,T7A,T3B,0.853853979,,,,,,,,,,,,,,,
144,T7B,T3B,0.426295781,,,,,,,,,,,,,,,
145,T8A,T3B,0.755056187,,,,,,,,,,,,,,,
146,T8B,T3B,0.529927837,,,,,,,,,,,,,,,
147,T9A,T3B,0.461412828,,,,,,,,,,,,,,,
148,T9B,T3B,0.477091312,,,,,,,,,,,,,,,
149,T10A,T3B,0.463907449,,,,,,,,,,,,,,,
150,T10B,T3B,0.70674919,,,,,,,,,,,,,,,
151,T11A,T3B,0.476139066,,,,,,,,,,,,,,,
152,T11B,T3B,0.456130589,,,,,,,,,,,,,,,
153,T12A,T3B,0.463698133,,,,,,,,,,,,,,,
154,T12B,T3B,0.564592997,,,,,,,,,,,,,,,
155,T13A,T3B,0.581769948,,,,,,,,,,,,,,,
156,T13B,T3B,0.546877214,,,,,,,,,,,,,,,
157,T1A,T4A,0.991919273,,,,,,,,,,,,,,,
158,T1B,T4A,0.987031539,,,,,,,,,,,,,,,
159,T2A,T4A,0.934657552,,,,,,,,,,,,,,,
160,T2B,T4A,0.292999544,,,,,,,,,,,,,,,
161,T3A,T4A,0.474390854,,,,,,,,,,,,,,,
162,T3B,T4A,0.492860869,,,,,,,,,,,,,,,
163,T4A,T4A,0,,,,,,,,,,,,,,,
164,T4B,T4A,0.361378921,,,,,,,,,,,,,,,
165,T5A,T4A,0.100420371,,,,,,,,,,,,,,,
166,T5B,T4A,0.104393462,,,,,,,,,,,,,,,
167,T6A,T4A,0.050680331,,,,,,,,,,,,,,,
168,T6B,T4A,0.062099246,,,,,,,,,,,,,,,
169,T7A,T4A,0.936531397,,,,,,,,,,,,,,,
170,T7B,T4A,0.454865781,,,,,,,,,,,,,,,
171,T8A,T4A,0.790591866,,,,,,,,,,,,,,,
172,T8B,T4A,0.85046319,,,,,,,,,,,,,,,
173,T9A,T4A,0.241443259,,,,,,,,,,,,,,,
174,T9B,T4A,0.065451127,,,,,,,,,,,,,,,
175,T10A,T4A,0.769426174,,,,,,,,,,,,,,,
176,T10B,T4A,0.781376747,,,,,,,,,,,,,,,
177,T11A,T4A,0.030512096,,,,,,,,,,,,,,,
178,T11B,T4A,0.370399722,,,,,,,,,,,,,,,
179,T12A,T4A,0.301580412,,,,,,,,,,,,,,,
180,T12B,T4A,0.58510118,,,,,,,,,,,,,,,
181,T13A,T4A,0.613782903,,,,,,,,,,,,,,,
182,T13B,T4A,0.563312539,,,,,,,,,,,,,,,
183,T1A,T4B,0.991539114,,,,,,,,,,,,,,,
184,T1B,T4B,0.986246441,,,,,,,,,,,,,,,
185,T2A,T4B,0.592505488,,,,,,,,,,,,,,,
186,T2B,T4B,0.269848501,,,,,,,,,,,,,,,
187,T3A,T4B,0.302895212,,,,,,,,,,,,,,,
188,T3B,T4B,0.462484187,,,,,,,,,,,,,,,
189,T4A,T4B,0.361378921,,,,,,,,,,,,,,,
190,T4B,T4B,0,,,,,,,,,,,,,,,
191,T5A,T4B,0.358345034,,,,,,,,,,,,,,,
192,T5B,T4B,0.349690917,,,,,,,,,,,,,,,
193,T6A,T4B,0.356931771,,,,,,,,,,,,,,,
194,T6B,T4B,0.357589932,,,,,,,,,,,,,,,
195,T7A,T4B,0.583142348,,,,,,,,,,,,,,,
196,T7B,T4B,0.188216358,,,,,,,,,,,,,,,
197,T8A,T4B,0.445096398,,,,,,,,,,,,,,,
198,T8B,T4B,0.83641185,,,,,,,,,,,,,,,
199,T9A,T4B,0.280774665,,,,,,,,,,,,,,,
200,T9B,T4B,0.355107266,,,,,,,,,,,,,,,
201,T10A,T4B,0.763580977,,,,,,,,,,,,,,,
202,T10B,T4B,0.580179103,,,,,,,,,,,,,,,
203,T11A,T4B,0.356770057,,,,,,,,,,,,,,,
204,T11B,T4B,0.351508901,,,,,,,,,,,,,,,
205,T12A,T4B,0.30023366,,,,,,,,,,,,,,,
206,T12B,T4B,0.552450279,,,,,,,,,,,,,,,
207,T13A,T4B,0.559200991,,,,,,,,,,,,,,,
208,T13B,T4B,0.55706436,,,,,,,,,,,,,,,
209,T1A,T5A,0.994425196,,,,,,,,,,,,,,,
210,T1B,T5A,0.988796487,,,,,,,,,,,,,,,
211,T2A,T5A,0.92604082,,,,,,,,,,,,,,,
212,T2B,T5A,0.293720738,,,,,,,,,,,,,,,
213,T3A,T5A,0.469557459,,,,,,,,,,,,,,,
214,T3B,T5A,0.479133175,,,,,,,,,,,,,,,
215,T4A,T5A,0.100420371,,,,,,,,,,,,,,,
216,T4B,T5A,0.358345034,,,,,,,,,,,,,,,
217,T5A,T5A,0,,,,,,,,,,,,,,,
218,T5B,T5A,0.022459408,,,,,,,,,,,,,,,
219,T6A,T5A,0.067510161,,,,,,,,,,,,,,,
220,T6B,T5A,0.053929402,,,,,,,,,,,,,,,
221,T7A,T5A,0.915375704,,,,,,,,,,,,,,,
222,T7B,T5A,0.432881518,,,,,,,,,,,,,,,
223,T8A,T5A,0.793850936,,,,,,,,,,,,,,,
224,T8B,T5A,0.846981764,,,,,,,,,,,,,,,
225,T9A,T5A,0.232146847,,,,,,,,,,,,,,,
226,T9B,T5A,0.088990371,,,,,,,,,,,,,,,
227,T10A,T5A,0.764655161,,,,,,,,,,,,,,,
228,T10B,T5A,0.783081053,,,,,,,,,,,,,,,
229,T11A,T5A,0.081045058,,,,,,,,,,,,,,,
230,T11B,T5A,0.273413828,,,,,,,,,,,,,,,
231,T12A,T5A,0.292003173,,,,,,,,,,,,,,,
232,T12B,T5A,0.587033712,,,,,,,,,,,,,,,
233,T13A,T5A,0.612627861,,,,,,,,,,,,,,,
234,T13B,T5A,0.556754624,,,,,,,,,,,,,,,
235,T1A,T5B,0.98569609,,,,,,,,,,,,,,,
236,T1B,T5B,0.980061947,,,,,,,,,,,,,,,
237,T2A,T5B,0.913340361,,,,,,,,,,,,,,,
238,T2B,T5B,0.280354729,,,,,,,,,,,,,,,
239,T3A,T5B,0.45337666,,,,,,,,,,,,,,,
240,T3B,T5B,0.462910209,,,,,,,,,,,,,,,
241,T4A,T5B,0.104393462,,,,,,,,,,,,,,,
242,T4B,T5B,0.349690917,,,,,,,,,,,,,,,
243,T5A,T5B,0.022459408,,,,,,,,,,,,,,,
244,T5B,T5B,0,,,,,,,,,,,,,,,
245,T6A,T5B,0.077248462,,,,,,,,,,,,,,,
246,T6B,T5B,0.064255874,,,,,,,,,,,,,,,
247,T7A,T5B,0.901166996,,,,,,,,,,,,,,,
248,T7B,T5B,0.423225596,,,,,,,,,,,,,,,
249,T8A,T5B,0.77873954,,,,,,,,,,,,,,,
250,T8B,T5B,0.84289456,,,,,,,,,,,,,,,
251,T9A,T5B,0.223741822,,,,,,,,,,,,,,,
252,T9B,T5B,0.097276284,,,,,,,,,,,,,,,
253,T10A,T5B,0.760896168,,,,,,,,,,,,,,,
254,T10B,T5B,0.768426109,,,,,,,,,,,,,,,
255,T11A,T5B,0.09092812,,,,,,,,,,,,,,,
256,T11B,T5B,0.274022866,,,,,,,,,,,,,,,
257,T12A,T5B,0.28459104,,,,,,,,,,,,,,,
258,T12B,T5B,0.577365618,,,,,,,,,,,,,,,
259,T13A,T5B,0.602031865,,,,,,,,,,,,,,,
260,T13B,T5B,0.554303041,,,,,,,,,,,,,,,
261,T1A,T6A,0.991520638,,,,,,,,,,,,,,,
262,T1B,T6A,0.983332536,,,,,,,,,,,,,,,
263,T2A,T6A,0.920341252,,,,,,,,,,,,,,,
264,T2B,T6A,0.27769296,,,,,,,,,,,,,,,
265,T3A,T6A,0.464433456,,,,,,,,,,,,,,,
266,T3B,T6A,0.47367531,,,,,,,,,,,,,,,
267,T4A,T6A,0.050680331,,,,,,,,,,,,,,,
268,T4B,T6A,0.356931771,,,,,,,,,,,,,,,
269,T5A,T6A,0.067510161,,,,,,,,,,,,,,,
270,T5B,T6A,0.077248462,,,,,,,,,,,,,,,
271,T6A,T6A,0,,,,,,,,,,,,,,,
272,T6B,T6A,0.022019693,,,,,,,,,,,,,,,
273,T7A,T6A,0.91042537,,,,,,,,,,,,,,,
274,T7B,T6A,0.426727237,,,,,,,,,,,,,,,
275,T8A,T6A,0.79260656,,,,,,,,,,,,,,,
276,T8B,T6A,0.845412655,,,,,,,,,,,,,,,
277,T9A,T6A,0.219821984,,,,,,,,,,,,,,,
278,T9B,T6A,0.050849219,,,,,,,,,,,,,,,
279,T10A,T6A,0.7631743,,,,,,,,,,,,,,,
280,T10B,T6A,0.781056796,,,,,,,,,,,,,,,
281,T11A,T6A,0.029074271,,,,,,,,,,,,,,,
282,T11B,T6A,0.334002869,,,,,,,,,,,,,,,
283,T12A,T6A,0.286713978,,,,,,,,,,,,,,,
284,T12B,T6A,0.58545091,,,,,,,,,,,,,,,
285,T13A,T6A,0.603349708,,,,,,,,,,,,,,,
286,T13B,T6A,0.543840068,,,,,,,,,,,,,,,
287,T1A,T6B,0.991252853,,,,,,,,,,,,,,,
288,T1B,T6B,0.981481296,,,,,,,,,,,,,,,
289,T2A,T6B,0.923147347,,,,,,,,,,,,,,,
290,T2B,T6B,0.284611907,,,,,,,,,,,,,,,
291,T3A,T6B,0.463596192,,,,,,,,,,,,,,,
292,T3B,T6B,0.47336101,,,,,,,,,,,,,,,
293,T4A,T6B,0.062099246,,,,,,,,,,,,,,,
294,T4B,T6B,0.357589932,,,,,,,,,,,,,,,
295,T5A,T6B,0.053929402,,,,,,,,,,,,,,,
296,T5B,T6B,0.064255874,,,,,,,,,,,,,,,
297,T6A,T6B,0.022019693,,,,,,,,,,,,,,,
298,T6B,T6B,0,,,,,,,,,,,,,,,
299,T7A,T6B,0.909843937,,,,,,,,,,,,,,,
300,T7B,T6B,0.426720934,,,,,,,,,,,,,,,
301,T8A,T6B,0.792569174,,,,,,,,,,,,,,,
302,T8B,T6B,0.845413959,,,,,,,,,,,,,,,
303,T9A,T6B,0.227770122,,,,,,,,,,,,,,,
304,T9B,T6B,0.050170409,,,,,,,,,,,,,,,
305,T10A,T6B,0.763227987,,,,,,,,,,,,,,,
306,T10B,T6B,0.781415871,,,,,,,,,,,,,,,
307,T11A,T6B,0.038238529,,,,,,,,,,,,,,,
308,T11B,T6B,0.317212598,,,,,,,,,,,,,,,
309,T12A,T6B,0.28481405,,,,,,,,,,,,,,,
310,T12B,T6B,0.586146673,,,,,,,,,,,,,,,
311,T13A,T6B,0.604453235,,,,,,,,,,,,,,,
312,T13B,T6B,0.548901037,,,,,,,,,,,,,,,
313,T1A,T7A,0.960476015,,,,,,,,,,,,,,,
314,T1B,T7A,0.940158454,,,,,,,,,,,,,,,
315,T2A,T7A,0.111923838,,,,,,,,,,,,,,,
316,T2B,T7A,0.805759558,,,,,,,,,,,,,,,
317,T3A,T7A,0.710242137,,,,,,,,,,,,,,,
318,T3B,T7A,0.853853979,,,,,,,,,,,,,,,
319,T4A,T7A,0.936531397,,,,,,,,,,,,,,,
320,T4B,T7A,0.583142348,,,,,,,,,,,,,,,
321,T5A,T7A,0.915375704,,,,,,,,,,,,,,,
322,T5B,T7A,0.901166996,,,,,,,,,,,,,,,
323,T6A,T7A,0.91042537,,,,,,,,,,,,,,,
324,T6B,T7A,0.909843937,,,,,,,,,,,,,,,
325,T7A,T7A,0,,,,,,,,,,,,,,,
326,T7B,T7A,0.628267438,,,,,,,,,,,,,,,
327,T8A,T7A,0.535211598,,,,,,,,,,,,,,,
328,T8B,T7A,0.899336623,,,,,,,,,,,,,,,
329,T9A,T7A,0.834722542,,,,,,,,,,,,,,,
330,T9B,T7A,0.908450453,,,,,,,,,,,,,,,
331,T10A,T7A,0.907106093,,,,,,,,,,,,,,,
332,T10B,T7A,0.726888517,,,,,,,,,,,,,,,
333,T11A,T7A,0.918538701,,,,,,,,,,,,,,,
334,T11B,T7A,0.88267981,,,,,,,,,,,,,,,
335,T12A,T7A,0.838654335,,,,,,,,,,,,,,,
336,T12B,T7A,0.90305084,,,,,,,,,,,,,,,
337,T13A,T7A,0.847230856,,,,,,,,,,,,,,,
338,T13B,T7A,0.917972265,,,,,,,,,,,,,,,
339,T1A,T7B,0.986116243,,,,,,,,,,,,,,,
340,T1B,T7B,0.969748734,,,,,,,,,,,,,,,
341,T2A,T7B,0.674189362,,,,,,,,,,,,,,,
342,T2B,T7B,0.336247093,,,,,,,,,,,,,,,
343,T3A,T7B,0.280438629,,,,,,,,,,,,,,,
344,T3B,T7B,0.426295781,,,,,,,,,,,,,,,
345,T4A,T7B,0.454865781,,,,,,,,,,,,,,,
346,T4B,T7B,0.188216358,,,,,,,,,,,,,,,
347,T5A,T7B,0.432881518,,,,,,,,,,,,,,,
348,T5B,T7B,0.423225596,,,,,,,,,,,,,,,
349,T6A,T7B,0.426727237,,,,,,,,,,,,,,,
350,T6B,T7B,0.426720934,,,,,,,,,,,,,,,
351,T7A,T7B,0.628267438,,,,,,,,,,,,,,,
352,T7B,T7B,0,,,,,,,,,,,,,,,
353,T8A,T7B,0.535220727,,,,,,,,,,,,,,,
354,T8B,T7B,0.832000348,,,,,,,,,,,,,,,
355,T9A,T7B,0.354422805,,,,,,,,,,,,,,,
356,T9B,T7B,0.42455322,,,,,,,,,,,,,,,
357,T10A,T7B,0.76003456,,,,,,,,,,,,,,,
358,T10B,T7B,0.57773078,,,,,,,,,,,,,,,
359,T11A,T7B,0.434496924,,,,,,,,,,,,,,,
360,T11B,T7B,0.403343187,,,,,,,,,,,,,,,
361,T12A,T7B,0.36316604,,,,,,,,,,,,,,,
362,T12B,T7B,0.548681505,,,,,,,,,,,,,,,
363,T13A,T7B,0.544051992,,,,,,,,,,,,,,,
364,T13B,T7B,0.544009607,,,,,,,,,,,,,,,
365,T1A,T8A,0.982953464,,,,,,,,,,,,,,,
366,T1B,T8A,0.645262243,,,,,,,,,,,,,,,
367,T2A,T8A,0.541200904,,,,,,,,,,,,,,,
368,T2B,T8A,0.697515813,,,,,,,,,,,,,,,
369,T3A,T8A,0.606652683,,,,,,,,,,,,,,,
370,T3B,T8A,0.755056187,,,,,,,,,,,,,,,
371,T4A,T8A,0.790591866,,,,,,,,,,,,,,,
